@relation depthConvexity

@attribute 1744735173572 numeric
@attribute -195.0 numeric
@attribute BUY_FAILURE {BUY_FAILURE,SELL_SUCCESS,SELL_FAILURE,BUY_SUCCESS}

@data
1744735505816,-36,SELL_SUCCESS
1744735507848,-191,SELL_FAILURE
1744735509876,132,BUY_FAILURE
1744735511904,-80,SELL_FAILURE
1744735513939,-18,SELL_SUCCESS
1744735515971,-69,BUY_SUCCESS
1744735518040,-234,SELL_FAILURE
1744735520077,-166,SELL_SUCCESS
1744735522124,55,BUY_FAILURE
1744735524220,16,SELL_FAILURE
1744735526295,155,BUY_SUCCESS
1744735528355,-62,BUY_FAILURE
1744735530396,76,BUY_SUCCESS
1744735532433,12,SELL_FAILURE
1744735534497,-32,SELL_SUCCESS
1744735536530,205,BUY_SUCCESS
1744735538568,-18,SELL_SUCCESS
1744735540629,-255,BUY_SUCCESS
1744735542671,131,BUY_SUCCESS
1744735544706,-197,SELL_FAILURE
1744735546744,88,SELL_SUCCESS
1744735548784,-88,SELL_FAILURE
